"localidad","hobby","cantidad_alumnos"
"belgrano","correr","1"
"belgrano","fútbol","1"
"belgrano","ajedrez","1"
"belgrano","leer","1"
"boedo","películas","2"
"boedo","series","2"
"caba","voley","1"
"chilavert","series","1"
"ciudad jardin","gimnasio","1"
"escobar","leer","1"
"general pacheco","correr","1"
"general pacheco","cantar","1"
"j.l suarez","mangas","1"
"j.l suarez","series","1"
"j.l suarez","anime","1"
"j.l suarez","videojuegos","1"
"laferrere","guitarra","1"
"laferrere","música","1"
"no especifica","música","4"
"no especifica","series","4"
"no especifica","leer","3"
"no especifica","videojuegos","2"
"no especifica","guitarra","2"
"no especifica","ajedrez","1"
"no especifica","mangas","1"
"no especifica","cantar","1"
"no especifica","anime","1"
"no especifica","voley","1"
"san martin","videojuegos","2"
"san martin","viajar","2"
"san martin","leer","1"
"san martin","series","1"
"san martin","gimnasio","1"
"san martin","guitarra","1"
"santos lugares","correr","1"
"villa bosch","series","2"
